part,octave,stepname,step,alter,duration,dx,dy,angle
Piano,2,C,0,0,24,-0.168731664,-0.029240529,0.777308878
Piano,2,C,0,0,24,-0.168625097,-0.029840781,0.777876968
Piano,2,C,0,0,24,-0.168564202,-0.030186578,0.778201591
Piano,2,C,0,0,24,-0.168425013,-0.030958641,0.778931992
Piano,2,C,0,0,24,-0.168311922,-0.031558893,0.779500081
Piano,2,C,0,0,12,-0.165271516,-0.044834028,0.792160364
Piano,2,C,0,0,24,-0.159214627,0.063054716,0.689985392
Piano,2,C,0,0,6,-0.1589232,-0.063785458,0.810745009
Piano,2,C,0,0,24,-0.142079177,-0.095596631,0.844262295
Piano,2,C,0,0,24,-0.141737729,-0.096103365,0.844830385
Piano,2,C,0,0,24,-0.14153982,-0.096392617,0.845155007
Piano,2,C,0,0,24,-0.141096156,-0.097040715,0.845885408
Piano,2,C,0,0,24,-0.140748183,-0.0975431,0.846453498
Piano,2,C,0,0,6,-0.033318327,-0.167972649,0.968836228
Piano,2,C,0,0,6,-0.032974705,-0.168042244,0.969160851
Piano,2,C,0,0,6,-0.031258767,-0.168368468,0.970783964
Piano,2,C,0,0,6,-0.030915145,-0.168431538,0.971108586
Piano,2,C,0,0,6,-0.029197033,-0.168738188,0.972731699
Piano,2,C,0,0,6,-0.028851235,-0.168796908,0.973056322
Piano,2,C,0,0,6,-0.011691862,-0.170845594,0.989125142
Piano,2,C,0,0,3,0.050830022,-0.163529481,0.047962993
Piano,2,C,0,0,12,0.051828267,-0.163214131,0.048936861
Piano,2,C,0,0,6,0.062769814,0.159327718,0.440269437
Piano,2,C,0,0,3,0.143810338,0.092973791,0.341340691
Piano,2,C,0,0,3,0.144188757,0.092384413,0.340691446
Piano,2,C,0,0,6,0.155902368,-0.070849291,0.182113293
Piano,2,C,0,1,12,-0.10152303,-0.142957806,0.9017205
Piano,2,D,2,-1,24,-0.161217641,-0.068944144,0.814315858
Piano,2,D,2,-1,6,0.158501284,-0.07497711,0.179678624
Piano,2,D,2,0,3,-0.179320889,-0.021915717,0.769355624
Piano,2,D,2,0,24,-0.179229546,-0.022646458,0.770004869
Piano,2,D,2,0,12,-0.177955099,-0.031117404,0.777552345
Piano,2,D,2,0,12,-0.177907252,-0.031391432,0.777795812
Piano,2,D,2,0,12,-0.17208307,-0.054983939,0.799220906
Piano,2,D,2,0,24,-0.169155754,0.063424437,0.692906996
Piano,2,D,2,0,24,-0.167894356,0.066691025,0.689823081
Piano,2,D,2,0,12,-0.148692821,-0.102599569,0.846128875
Piano,2,D,2,0,12,-0.148534059,-0.102827926,0.846372342
Piano,2,D,2,0,12,-0.112621165,-0.141252743,0.892874533
Piano,2,D,2,0,,-0.100198562,0.150319591,0.593572472
Piano,2,D,2,0,6,-0.034966845,-0.177237406,0.968998539
Piano,2,D,2,0,6,-0.032796369,-0.177652798,0.970946275
Piano,2,D,2,0,6,-0.030619369,-0.178039917,0.972894011
Piano,2,D,2,0,6,-0.01215075,-0.18024519,0.989287453
Piano,2,D,2,0,3,0.008012057,0.180477896,0.492939458
Piano,2,D,2,0,3,0.010680568,-0.180338707,0.009414056
Piano,2,D,2,0,3,0.01215075,-0.18024519,0.010712547
Piano,2,D,2,0,6,0.156282962,-0.09062063,0.166369096
Piano,2,D,2,0,3,0.172111342,-0.054894771,0.20086025
Piano,2,D,2,0,3,0.172555007,-0.053489834,0.20215874
Piano,2,E,4,-1,24,-0.183492204,-0.029297075,0.775198831
Piano,2,E,4,-1,24,-0.183433484,-0.029671145,0.775523454
Piano,2,E,4,-1,24,-0.183324743,-0.030325767,0.776091544
Piano,2,E,4,-1,24,-0.183263848,-0.030699837,0.776416166
Piano,2,E,4,-1,24,-0.183152932,-0.03135446,0.776984256
Piano,2,E,4,-1,12,-0.182957197,-0.032474495,0.777958124
Piano,2,E,4,-1,24,-0.182824533,-0.03322046,0.778607369
Piano,2,E,4,-1,24,-0.18267012,-0.034059943,0.77933777
Piano,2,E,4,-1,24,-0.182598351,-0.034431838,0.779662392
Piano,2,E,4,-1,12,-0.179868945,-0.046634784,0.790374939
Piano,2,E,4,-1,6,-0.176680651,0.057545883,0.699886382
Piano,2,E,4,-1,6,-0.175564965,0.060869017,0.696883623
Piano,2,E,4,-1,24,-0.173922972,0.065414402,0.692744684
Piano,2,E,4,-1,6,-0.172587629,-0.068859326,0.810420386
Piano,2,E,4,-1,6,-0.17251586,-0.069035487,0.810582698
Piano,2,E,4,-1,12,-0.172163538,-0.069914116,0.811394254
Piano,2,E,4,-1,24,-0.172054797,0.07017727,0.688362279
Piano,2,E,4,-1,24,-0.170923888,-0.072889277,0.814153547
Piano,2,E,4,-1,6,-0.159547375,-0.095250834,0.835659795
Piano,2,E,4,-1,6,-0.159351641,-0.095577057,0.835984418
Piano,2,E,4,-1,24,-0.154273423,-0.103573891,0.844099984
Piano,2,E,4,-1,24,-0.153903703,-0.104124122,0.844668073
Piano,2,E,4,-1,24,-0.15369057,-0.104437297,0.844992696
Piano,2,E,4,-1,24,-0.1533165,-0.104985353,0.845560786
Piano,2,E,4,-1,,-0.103691331,0.15419513,0.594221717
Piano,2,E,4,-1,6,-0.103219394,0.154510479,0.593734783
Piano,2,E,4,-1,3,-0.099406925,0.156991955,0.589839312
Piano,2,E,4,-1,3,-0.095535736,0.159377739,0.58594384
